# #runID ohdu lambdaBGbin
6394 6 0.242855
6394 7 0.157524
6394 8 0.221382
6394 9 0.153122
6394 10 0.086528
6394 13 0.169052
6394 14 0.141283
6394 15 0.022437
6395 2 0.202893
6395 3 0.181490
6395 4 0.171167
6395 5 0.232927
6395 6 0.208511
6395 7 0.179395
6395 8 0.224829
6395 9 0.161475
6395 10 0.080962
6395 13 0.173485
6395 14 0.146376
6395 15 0.033904
6396 2 0.199679
6396 3 0.168868
6396 4 0.168904
6396 5 0.242603
6396 6 0.244902
6396 7 0.157797
6396 8 0.225949
6396 9 0.189186
6396 10 0.056563
6396 13 0.169770
6396 14 0.161245
6396 15 0.037521
6397 2 0.228908
6397 3 0.186914
6397 4 0.196694
6397 5 0.202673
6397 6 0.295365
6397 7 0.135215
6397 8 0.224269
6397 9 0.175519
6397 10 0.087154
6397 13 0.189928
6397 14 0.141575
6397 15 0.032714
6398 2 0.195027
6398 3 0.194134
6398 4 0.217402
6398 5 0.210152
6398 6 0.229979
6398 7 0.139229
6398 8 0.214084
6398 9 0.184219
6398 10 0.097755
6398 13 0.178281
6398 14 0.154362
6398 15 0.026673
6399 2 0.210076
6399 3 0.195570
6399 4 0.207399
6399 5 0.218662
6399 6 0.227822
6399 7 0.158124
6399 8 0.214202
6399 9 0.158640
6399 10 0.051120
6399 13 0.168740
6399 14 0.158060
6399 15 0.027056
6400 2 0.215618
6400 3 0.185390
6400 4 0.175194
6400 5 0.225261
6400 6 0.278692
6400 7 0.137463
6400 8 0.214814
6400 9 0.174003
6400 10 0.081502
6400 13 0.158506
6400 14 0.181111
6400 15 0.019096
6401 2 0.194486
6401 3 0.179137
6401 4 0.187003
6401 5 0.244008
6401 6 0.167617
6401 7 0.155880
6401 8 0.222221
6401 9 0.163086
6401 10 0.077847
6401 13 0.198500
6401 14 0.174845
6401 15 0.026760
6402 2 0.215771
6402 3 0.182717
6402 4 0.190929
6402 5 0.234931
6402 6 0.193838
6402 7 0.152883
6402 8 0.230154
6402 9 0.168794
6402 10 0.069847
6402 13 0.172850
6402 14 0.156722
6402 15 0.034038
6403 2 0.226074
6403 3 0.169360
6403 4 0.192870
6403 5 0.215587
6403 6 0.232654
6403 7 0.130608
6403 8 0.219632
6403 9 0.156141
6403 10 0.073855
6403 13 0.163913
6403 14 0.166428
6403 15 0.029768
6404 2 0.200382
6404 3 0.188765
6404 4 0.187125
6404 5 0.217212
6404 6 0.228610
6404 7 0.152169
6404 8 0.226256
6404 9 0.181558
6404 10 0.071529
6404 13 0.169946
6404 14 0.151129
6404 15 0.046314
6405 2 0.207669
6405 3 0.199962
6405 4 0.195925
6405 5 0.224683
6405 6 0.258540
6405 7 0.171058
6405 8 0.216953
6405 9 0.167340
6405 10 0.080872
6405 13 0.160934
6405 14 0.157104
6405 15 0.036324
6406 2 0.210333
6406 3 0.177591
6406 4 0.182074
6406 5 0.235818
6406 6 0.264182
6406 7 0.176445
6406 8 0.239817
6406 9 0.175249
6406 10 0.075147
6406 13 0.171173
6406 14 0.156170
6406 15 0.009717
6407 2 0.223778
6407 3 0.182197
6407 4 0.181775
6407 5 0.217186
6407 6 0.245342
6407 7 0.162419
6407 8 0.228636
6407 9 0.183162
6407 10 0.068051
6407 13 0.166085
6407 14 0.167730
6407 15 0.019228
6408 2 0.201519
6408 3 0.172179
6408 4 0.179923
6408 5 0.227323
6408 6 0.195270
6408 7 0.169399
6408 8 0.233184
6408 9 0.167015
6408 10 0.078962
6408 13 0.163091
6408 14 0.158957
6408 15 0.017744
6409 2 0.227583
6409 3 0.192058
6409 4 0.170887
6409 5 0.217343
6409 6 0.192132
6409 7 0.164394
6409 8 0.212995
6409 9 0.170327
6409 10 0.101131
6409 13 0.166714
6409 14 0.166936
6409 15 0.017301
6410 2 0.237421
6410 3 0.179026
6410 4 0.203985
6410 5 0.226474
6410 6 0.183150
6410 7 0.134435
6410 8 0.212892
6410 9 0.178844
6410 10 0.060484
6410 13 0.168618
6410 14 0.164994
6410 15 0.028109
6411 2 0.213065
6411 3 0.172907
6411 4 0.189317
6411 5 0.207204
6411 6 0.218229
6411 7 0.121549
6411 8 0.208396
6411 9 0.164580
6411 10 0.081945
6411 13 0.156844
6411 14 0.157334
6411 15 0.023229
6412 2 0.196925
6412 3 0.160845
6412 4 0.168974
6412 5 0.209567
6412 6 0.241119
6412 7 0.149421
6412 8 0.203255
6412 9 0.170699
6412 10 0.069708
6412 13 0.168709
6412 14 0.146125
6412 15 0.029374
6413 2 0.196004
6413 3 0.183957
6413 4 0.198241
6413 5 0.233035
6413 6 0.222104
6413 7 0.150403
6413 8 0.229860
6413 9 0.158246
6413 10 0.058381
6413 13 0.171347
6413 14 0.127252
6413 15 0.024271
6414 2 0.198459
6414 3 0.174110
6414 4 0.173721
6414 5 0.204474
6414 6 0.246193
6414 7 0.182222
6414 8 0.212627
6414 9 0.172044
6414 10 0.073881
6414 13 0.176490
6414 14 0.140198
6414 15 0.028016
6415 2 0.207869
6415 3 0.203028
6415 4 0.182475
6415 5 0.239335
6415 6 0.236124
6415 7 0.158126
6415 8 0.227116
6415 9 0.188882
6415 10 0.073873
6415 13 0.158823
6415 14 0.135279
6415 15 0.036502
6416 2 0.230757
6416 3 0.181331
6416 4 0.189240
6416 5 0.229281
6416 6 0.295327
6416 7 0.136870
6416 8 0.201916
6416 9 0.158912
6416 10 0.071386
6416 13 0.164501
6416 14 0.150089
6416 15 0.029868
6417 2 0.222217
6417 3 0.184901
6417 4 0.210059
6417 5 0.228206
6417 6 0.231693
6417 7 0.162241
6417 8 0.205582
6417 9 0.175216
6417 10 0.093800
