# #runID ohdu sigmaOS
10065 2 35.395441
10065 3 373.264052
10065 4 277.453428
10065 5 269.009143
10065 6 17.016349
10065 7 286.012414
10065 8 420.223899
10065 9 14.701020
10065 10 23.879888
10065 11 323.622205
10065 12 30.581092
10065 13 14.540485
10065 14 20.437310
10065 15 13.143471
10064 2 15.390701
10064 3 372.166532
10064 4 277.250870
10064 5 268.553457
10064 6 16.423016
10064 7 285.446132
10064 8 417.257897
10064 9 14.704581
10064 10 14.415444
10064 11 323.986006
10064 12 30.689677
10064 13 21.317965
10064 14 25.333453
10064 15 14.669622
10063 2 15.559296
10063 3 377.286151
10063 4 275.944458
10063 5 271.756706
10063 6 26.395889
10063 7 283.286956
10063 8 421.597243
10063 9 71.974928
10063 10 14.103149
10063 11 322.510057
10063 12 29.825033
10063 13 20.686844
10063 14 20.232655
10063 15 12.409652
10062 2 15.349888
10062 3 371.579696
10062 4 276.169053
10062 5 269.078886
10062 6 16.955519
10062 7 14213366.386284
10062 8 424.371182
10062 9 17.487508
10062 10 19.074673
10062 11 322.199593
10062 12 29.807156
10062 13 19.469401
10062 14 21.573904
10062 15 13.219673
10061 2 15.207507
10061 3 374.391675
10061 4 277.431835
10061 5 269.107732
10061 6 16.433896
10061 7 286.231306
10061 8 421.828481
10061 9 14.355239
10061 10 20100715.697570
10061 11 322.866912
10061 12 29.878531
10061 13 14.368479
10061 14 38.203082
10061 15 14.109618
10060 2 16.537388
10060 3 377.482135
10060 4 277.410219
10060 5 270.477869
10060 6 16.029793
10060 7 283.256354
10060 8 424.216287
10060 9 14.995879
10060 10 20.228812
10060 11 322.102952
10060 12 30.671380
10060 13 23.300462
10060 14 22.020728
10060 15 12.850832
10059 2 14213366.733447
10059 3 374.161616
10059 4 277.698719
10059 5 272.038915
10059 6 25.372778
10059 7 283.566544
10059 8 420.655723
10059 9 23.999711
10059 10 25.170911
10059 11 321.383379
10059 12 30.723900
10059 13 14.054991
10059 14 57.973444
10059 15 12.338576
10058 2 43.031158
10058 3 372.855365
10058 4 278.915348
10058 5 268.523313
10058 6 16.349749
10058 7 285.717535
10058 8 409.063767
10058 9 14.467591
10058 10 42.337807
10058 11 321.638401
10058 12 30.038207
10058 13 35.621662
10058 14 17.156675
10058 15 21.395925
10057 2 14.939974
10057 3 371.084504
10057 4 277.230313
10057 5 269.107370
10057 6 27.417495
10057 7 286.712726
10057 8 423.704008
10057 9 43.205211
10057 10 30.921531
10057 11 322.080563
10057 12 30.518991
10057 13 23.890293
10057 14 17.172802
10057 15 12.818106
10056 2 14.981162
10056 3 382.888102
10056 4 277.305802
10056 5 270.289939
10056 6 16.479030
10056 7 284.408348
10056 8 14213366.220552
10056 9 14.435359
10056 10 30.905122
10056 11 323.563608
10056 12 29.644170
10056 13 42.464913
10056 14 14213366.733263
10056 15 16.527982
10055 2 15.125427
10055 3 372.507139
10055 4 277.521048
10055 5 268.957816
10055 6 50.269655
10055 7 288.311287
10055 8 422.738131
10055 9 14.710801
10055 10 36.736961
10055 11 323.775666
10055 12 29.293452
10055 13 15.478104
10055 14 50.222546
10055 15 12.237023
10054 2 17.169284
10054 3 372.587599
10054 4 275.329686
10054 5 269.780342
10054 6 16.277292
10054 7 287.505290
10054 8 421.062337
10054 9 23.387489
10054 10 20.558006
10054 11 323.332255
10054 12 30.811455
10054 13 14.404980
10054 14 17.212679
10054 15 12.370504
10053 2 14.911949
10053 3 371.811964
10053 4 275.392642
10053 5 269.579281
10053 6 17.487697
10053 7 286.590616
10053 8 406.010731
10053 9 14.506383
10053 10 14.792953
10053 11 321.627696
10053 12 29.570490
10053 13 23.092406
10053 14 36.979842
10053 15 14.221987
10052 2 14.921644
10052 3 371.581622
10052 4 14213366.396392
10052 5 270.530256
10052 6 38.400777
10052 7 286.622970
10052 8 422.493395
10052 9 64.488245
10052 10 14.563465
10052 11 322.388145
10052 12 29.830023
10052 13 14213366.733167
10052 14 17.344429
10052 15 13.096968
10051 2 18.292196
10051 3 370.991789
10051 4 275.477224
10051 5 269.937862
10051 6 16.546193
10051 7 286.493402
10051 8 432.499373
10051 9 18.213878
10051 10 14.719601
10051 11 322.382670
10051 12 30.081985
10051 13 23.732775
10051 14 22.278742
10051 15 18.034302
10050 2 18.320894
10050 3 371.930743
10050 4 275.149974
10050 5 270.328197
10050 6 18.461862
10050 7 287.138451
10050 8 424.730461
10050 9 24.647407
10050 10 14.563505
10050 11 321.312984
10050 12 30.205530
10050 13 23.908740
10050 14 24.309174
10050 15 12.485383
10049 2 15.495988
10049 3 14213366.279849
10049 4 14213366.396940
10049 5 269.525017
10049 6 16.282984
10049 7 285.712261
10049 8 414.077185
10049 9 38.430929
10049 10 22.878489
10049 11 321.555020
10049 12 29.989302
10049 13 16.313953
10049 14 17.517625
10049 15 15.200114
10048 2 17.404175
10048 3 374.881151
10048 4 275.940290
10048 5 269.482798
10048 6 24.952940
10048 7 284.564721
10048 8 420.585504
10048 9 14.368142
10048 10 49235999.579604
10048 11 319.833897
10048 12 29.478391
10048 13 23.224468
10048 14 19.233837
10048 15 12.285875
10047 2 16.696954
10047 3 377.054840
10047 4 276.160728
10047 5 270.837435
10047 6 16.106289
10047 7 284.546383
10047 8 439.619609
10047 9 16.136104
10047 10 15.074394
10047 11 319.361044
10047 12 30.331003
10047 13 18.544184
10047 14 26.948839
10047 15 16.467493
10046 2 19.702974
10046 3 372.326210
10046 4 276.176961
10046 5 268.199963
10046 6 17.210801
10046 7 287.407886
10046 8 421.795538
10046 9 14.540281
10046 10 14.638289
10046 11 319.809433
10046 12 30.435257
10046 13 55.158736
10046 14 20.466801
10046 15 12.450019
10045 2 14213366.732682
10045 3 378.220392
10045 4 79134276.760493
