# #runID ohdu sigmaOSbin
6475 10 12.314598
6475 11 6.696913
6475 12 6.956354
6475 13 12.720874
6475 14 12.169383
6475 15 12.548805
6474 2 11.486870
6474 3 12.168332
6474 4 11.590015
6474 5 11.368318
6474 6 16.528008
6474 7 10.881449
6474 8 11.853226
6474 9 13.058797
6474 10 12.313727
6474 11 6.673941
6474 12 6.919312
6474 13 12.763566
6474 14 12.158915
6474 15 12.583925
6473 2 11.410483
6473 3 12.090406
6473 4 11.512796
6473 5 11.358692
6473 6 16.513386
6473 7 10.866201
6473 8 11.878719
6473 9 0.026335
6473 10 12.291555
6473 11 6.650189
6473 12 6.945019
6473 13 12.767208
6473 14 12.107924
6473 15 12.623912
6472 2 11.439138
6472 3 12.107318
6472 4 11.619711
6472 5 11.339289
6472 6 16.493997
6472 7 10.842091
6472 8 11.842448
6472 9 12.991706
6472 10 12.312003
6472 11 6.666778
6472 12 6.975620
6472 13 12.797529
6472 14 12.049981
6472 15 12.559436
6471 2 11.496343
6471 3 12.161985
6471 4 11.587111
6471 5 11.377777
6471 6 16.557928
6471 7 10.898054
6471 8 11.846825
6471 9 13.050647
6471 10 12.325225
6471 11 6.673900
6471 12 7.013363
6471 13 12.787084
6471 14 12.244165
6471 15 12.566524
6470 2 11.441581
6470 3 12.128576
6470 4 11.562422
6470 5 11.389023
6470 6 16.502404
6470 7 10.880218
6470 8 11.867192
6470 9 13.050043
6470 10 12.354440
6470 11 0.002065
6470 12 6.942234
6470 13 12.787282
6470 14 12.257204
6470 15 12.587793
6469 2 11.457456
6469 3 12.099940
6469 4 11.591425
6469 5 11.349173
6469 6 16.526224
6469 7 10.894099
6469 8 11.864802
6469 9 13.050015
6469 10 12.310394
6469 11 6.645510
6469 12 6.989728
6469 13 12.795571
6469 14 12.203034
6469 15 12.582827
6468 2 11.457691
6468 3 12.118135
6468 4 11.541821
6468 5 11.385725
6468 6 16.495511
6468 7 10.909782
6468 8 11.840243
6468 9 13.064526
6468 10 12.357291
6468 11 6.674167
6468 12 6.985658
6468 13 12.756192
6468 14 12.229986
6468 15 12.548529
6467 2 11.456010
6467 3 12.125021
6467 4 11.486961
6467 5 11.360886
6467 6 16.547299
6467 7 10.877099
6467 8 11.889600
6467 9 13.060134
6467 10 12.328253
6467 11 6.650190
6467 12 0.036301
6467 13 12.802312
6467 14 12.154053
6467 15 12.569982
6466 2 11.469392
6466 3 12.097375
6466 4 11.515105
6466 5 11.367733
6466 6 16.437445
6466 7 10.888813
6466 8 11.892981
6466 9 13.076655
6466 10 12.338566
6466 11 6.662192
6466 12 6.964500
6466 13 12.763429
6466 14 12.217794
6466 15 12.527994
6465 2 11.478685
6465 3 12.126813
6465 4 11.548062
6465 5 11.372021
6465 6 16.513309
6465 7 10.901196
6465 8 11.872574
