# E[keV], Quenching[1]
1.501750e+01, 3.103700e-01
1.511660e+01, 3.110250e-01
1.521640e+01, 3.116800e-01
1.531680e+01, 3.123370e-01
1.541780e+01, 3.129950e-01
1.551960e+01, 3.136550e-01
1.562200e+01, 3.143160e-01
1.572510e+01, 3.149780e-01
1.582890e+01, 3.156410e-01
1.593340e+01, 3.163060e-01
1.603860e+01, 3.169720e-01
1.614450e+01, 3.176400e-01
1.625110e+01, 3.183080e-01
1.635840e+01, 3.189790e-01
1.646640e+01, 3.196500e-01
1.657510e+01, 3.203220e-01
1.668460e+01, 3.209960e-01
1.679480e+01, 3.216710e-01
1.690570e+01, 3.223480e-01
1.701730e+01, 3.230260e-01
1.712970e+01, 3.237050e-01
1.724290e+01, 3.243850e-01
1.735680e+01, 3.250660e-01
1.747150e+01, 3.257490e-01
1.758690e+01, 3.264330e-01
1.770310e+01, 3.271180e-01
1.782010e+01, 3.278050e-01
1.793780e+01, 3.284930e-01
1.805640e+01, 3.291820e-01
1.817570e+01, 3.298720e-01
1.829580e+01, 3.305630e-01
1.841680e+01, 3.312560e-01
1.853850e+01, 3.319490e-01
1.866100e+01, 3.326440e-01
1.878440e+01, 3.333400e-01
1.890860e+01, 3.340380e-01
1.903360e+01, 3.347360e-01
1.915940e+01, 3.354360e-01
1.928610e+01, 3.361360e-01
1.941370e+01, 3.368380e-01
1.954200e+01, 3.375410e-01
1.967130e+01, 3.382450e-01
1.980140e+01, 3.389500e-01
1.993230e+01, 3.396560e-01
2.006410e+01, 3.403630e-01
2.019690e+01, 3.410710e-01
2.033050e+01, 3.417800e-01
2.046490e+01, 3.424900e-01
2.060030e+01, 3.432020e-01
2.073660e+01, 3.439140e-01
2.087380e+01, 3.446270e-01
2.101190e+01, 3.453400e-01
2.115090e+01, 3.460550e-01
2.129090e+01, 3.467710e-01
2.143180e+01, 3.474870e-01
2.157360e+01, 3.482040e-01
2.171640e+01, 3.489220e-01
2.186010e+01, 3.496410e-01
2.200480e+01, 3.503600e-01
2.215040e+01, 3.510800e-01
2.229700e+01, 3.518010e-01
2.244460e+01, 3.525220e-01
2.259320e+01, 3.532440e-01
2.274280e+01, 3.539670e-01
2.289330e+01, 3.546900e-01
2.304490e+01, 3.554140e-01
2.319750e+01, 3.561380e-01
2.335110e+01, 3.568620e-01
2.350570e+01, 3.575870e-01
2.366130e+01, 3.583120e-01
2.381800e+01, 3.590380e-01
2.397570e+01, 3.597640e-01
2.413450e+01, 3.604900e-01
2.429430e+01, 3.612160e-01
2.445520e+01, 3.619430e-01
2.461720e+01, 3.626690e-01
2.478030e+01, 3.633960e-01
2.494440e+01, 3.641220e-01
2.510960e+01, 3.648490e-01
2.527600e+01, 3.655750e-01
2.544340e+01, 3.663020e-01
2.561200e+01, 3.670280e-01
2.578170e+01, 3.677530e-01
2.595250e+01, 3.684790e-01
2.612440e+01, 3.692040e-01
2.629750e+01, 3.699290e-01
2.647180e+01, 3.706530e-01
2.664720e+01, 3.713760e-01
2.682380e+01, 3.720990e-01
2.700150e+01, 3.728210e-01
2.718050e+01, 3.735430e-01
2.736060e+01, 3.742630e-01
2.754190e+01, 3.749830e-01
2.772450e+01, 3.757020e-01
2.790820e+01, 3.764190e-01
2.809320e+01, 3.771360e-01
2.827950e+01, 3.778510e-01
2.846690e+01, 3.785650e-01
2.865560e+01, 3.792770e-01
2.884560e+01, 3.799880e-01
2.903680e+01, 3.806970e-01
2.922930e+01, 3.814040e-01
2.942310e+01, 3.821100e-01
2.961820e+01, 3.828140e-01
2.981460e+01, 3.835160e-01
3.001230e+01, 3.842150e-01
3.021130e+01, 3.849120e-01
3.041160e+01, 3.856070e-01
3.061330e+01, 3.863000e-01
3.081630e+01, 3.869900e-01
3.102060e+01, 3.881860e-01
3.122640e+01, 3.890330e-01
3.143350e+01, 3.897480e-01
3.164200e+01, 3.904340e-01
3.185180e+01, 3.911010e-01
3.206310e+01, 3.917610e-01
3.227580e+01, 3.924160e-01
3.248980e+01, 3.930700e-01
3.270540e+01, 3.937240e-01
3.292230e+01, 3.943780e-01
3.314070e+01, 3.950340e-01
3.336060e+01, 3.956910e-01
3.358190e+01, 3.963510e-01
3.380470e+01, 3.970120e-01
3.402900e+01, 3.976760e-01
3.425470e+01, 3.983420e-01
3.448200e+01, 3.990100e-01
3.471080e+01, 3.996810e-01
