# E[keV], Quenching[1]
1.290e-01,3.103e-02
1.300e-01,3.125e-02
1.300e-01,3.125e-02
1.300e-01,3.125e-02
1.300e-01,3.125e-02
1.300e-01,3.125e-02
1.300e-01,3.125e-02
1.300e-01,3.125e-02
1.300e-01,3.125e-02
1.310e-01,3.152e-02
1.310e-01,3.152e-02
1.310e-01,3.152e-02
1.310e-01,3.152e-02
1.310e-01,3.152e-02
1.310e-01,3.152e-02
1.310e-01,3.152e-02
1.320e-01,3.173e-02
1.320e-01,3.173e-02
1.320e-01,3.173e-02
1.320e-01,3.173e-02
1.320e-01,3.173e-02
1.320e-01,3.173e-02
1.320e-01,3.173e-02
1.330e-01,3.193e-02
1.330e-01,3.193e-02
1.330e-01,3.193e-02
1.330e-01,3.193e-02
1.330e-01,3.193e-02
1.330e-01,3.193e-02
1.330e-01,3.193e-02
1.340e-01,3.216e-02
1.340e-01,3.216e-02
1.340e-01,3.216e-02
1.340e-01,3.216e-02
1.340e-01,3.216e-02
1.340e-01,3.216e-02
1.340e-01,3.216e-02
1.340e-01,3.216e-02
1.350e-01,3.240e-02
1.350e-01,3.240e-02
1.350e-01,3.240e-02
1.350e-01,3.240e-02
1.350e-01,3.240e-02
1.350e-01,3.240e-02
1.350e-01,3.240e-02
1.360e-01,3.263e-02
1.360e-01,3.263e-02
1.360e-01,3.263e-02
1.360e-01,3.263e-02
1.360e-01,3.263e-02
1.360e-01,3.263e-02
1.360e-01,3.263e-02
1.370e-01,3.284e-02
1.370e-01,3.284e-02
1.370e-01,3.284e-02
1.370e-01,3.284e-02
1.370e-01,3.284e-02
1.370e-01,3.284e-02
1.380e-01,3.305e-02
1.380e-01,3.305e-02
1.380e-01,3.305e-02
1.380e-01,3.305e-02
1.380e-01,3.305e-02
1.380e-01,3.305e-02
1.380e-01,3.305e-02
1.390e-01,3.327e-02
1.390e-01,3.327e-02
1.390e-01,3.327e-02
1.390e-01,3.327e-02
1.390e-01,3.327e-02
1.390e-01,3.327e-02
1.390e-01,3.327e-02
1.400e-01,3.351e-02
1.400e-01,3.351e-02
1.400e-01,3.351e-02
1.400e-01,3.351e-02
1.400e-01,3.351e-02
1.400e-01,3.351e-02
1.400e-01,3.351e-02
1.410e-01,3.372e-02
1.410e-01,3.372e-02
1.410e-01,3.372e-02
1.410e-01,3.372e-02
1.410e-01,3.372e-02
1.410e-01,3.372e-02
1.410e-01,3.372e-02
1.420e-01,3.397e-02
1.420e-01,3.397e-02
1.420e-01,3.397e-02
1.420e-01,3.397e-02
1.420e-01,3.397e-02
1.420e-01,3.397e-02
1.430e-01,3.417e-02
1.430e-01,3.417e-02
1.430e-01,3.417e-02
1.430e-01,3.417e-02
1.430e-01,3.417e-02
1.430e-01,3.417e-02
1.430e-01,3.417e-02
1.440e-01,3.439e-02
1.440e-01,3.439e-02
1.440e-01,3.439e-02
1.440e-01,3.439e-02
1.440e-01,3.439e-02
1.440e-01,3.439e-02
1.450e-01,3.459e-02
1.450e-01,3.459e-02
1.450e-01,3.459e-02
1.450e-01,3.459e-02
1.450e-01,3.459e-02
1.450e-01,3.459e-02
1.450e-01,3.459e-02
1.460e-01,3.483e-02
1.460e-01,3.483e-02
1.460e-01,3.483e-02
1.460e-01,3.483e-02
1.460e-01,3.483e-02
1.460e-01,3.483e-02
1.470e-01,3.504e-02
1.470e-01,3.504e-02
1.470e-01,3.504e-02
1.470e-01,3.504e-02
1.470e-01,3.504e-02
