# E_nu[MeV], flux[count/MeV/cm^2/s]
2.879999999999999893e+00, 8.031489756616282959e+11
2.890000000000000124e+00, 7.974737166101879883e+11
2.899999999999999911e+00, 7.918241622272197266e+11
2.910000000000000142e+00, 7.862003363474639893e+11
2.919999999999999929e+00, 7.806022612164134521e+11
2.930000000000000160e+00, 7.750299575001099854e+11
2.939999999999999947e+00, 7.694834442950240479e+11
2.950000000000000178e+00, 7.639627391379976807e+11
2.959999999999999964e+00, 7.584678580162673340e+11
2.969999999999999751e+00, 7.529988153775515137e+11
2.979999999999999982e+00, 7.475556241402084961e+11
2.990000000000000213e+00, 7.421382957034625244e+11
3.000000000000000000e+00, 7.367468399576917725e+11
3.009999999999999787e+00, 7.313812652947812500e+11
3.020000000000000018e+00, 7.260415786185385742e+11
3.030000000000000249e+00, 7.207277853551690674e+11
3.040000000000000036e+00, 7.154398894638087158e+11
3.049999999999999822e+00, 7.101778934471156006e+11
3.060000000000000053e+00, 7.049417983619147949e+11
3.070000000000000284e+00, 6.997316038299010010e+11
3.080000000000000071e+00, 6.945473080483881836e+11
3.089999999999999858e+00, 6.893889078011136475e+11
3.100000000000000089e+00, 6.842563984690894775e+11
3.110000000000000320e+00, 6.791497740415036621e+11
3.120000000000000107e+00, 6.740690271266630859e+11
3.129999999999999893e+00, 6.690141489629847412e+11
3.140000000000000124e+00, 6.639851294300283203e+11
3.150000000000000355e+00, 6.589819570595701904e+11
3.160000000000000142e+00, 6.540046190467164307e+11
3.169999999999999929e+00, 6.490531012610551758e+11
3.179999999999999716e+00, 6.441273882578448486e+11
3.189999999999999947e+00, 6.392274632892373047e+11
3.200000000000000178e+00, 6.343533083155364990e+11
3.209999999999999964e+00, 6.295049040164870605e+11
3.219999999999999751e+00, 6.246822298025935059e+11
3.229999999999999982e+00, 6.198852638264702148e+11
3.240000000000000213e+00, 6.151139829942181396e+11
3.250000000000000000e+00, 6.103683629768283691e+11
3.259999999999999787e+00, 6.056483782216076660e+11
3.270000000000000018e+00, 6.009540019636315918e+11
3.280000000000000249e+00, 5.962852062372155762e+11
3.290000000000000036e+00, 5.916419618874097900e+11
3.299999999999999822e+00, 5.870242385815083008e+11
3.310000000000000053e+00, 5.824320048205806885e+11
3.320000000000000284e+00, 5.778652279510172119e+11
3.330000000000000071e+00, 5.733238741760880127e+11
3.339999999999999858e+00, 5.688079085675166016e+11
3.350000000000000089e+00, 5.643172950770662842e+11
3.360000000000000320e+00, 5.598519965481346436e+11
3.370000000000000107e+00, 5.554119747273592529e+11
3.379999999999999893e+00, 5.509971902762297363e+11
